#Frame      Dih_00096,#Frame      Dih_00097,#Frame      Dih_00098,#Frame      Dih_00099,#Frame      Dih_00100
     168      11.9462,     168     -31.0529,     168      34.7826,     168     -30.3791,     168      12.2393
     169      12.6914,     169     -31.1319,     169      38.5829,     169     -31.9777,     169      11.7422
     170       3.0625,     170     -24.2394,     170      34.4030,     170     -35.6144,     170      19.6552
     171      15.9811,     171     -33.0903,     171      38.9967,     171     -31.6785,     171       9.6699
     172      12.1777,     172     -29.5296,     172      35.3964,     172     -29.3483,     172      11.0490
     173       5.7397,     173     -29.3660,     173      39.4571,     173     -37.9867,     173      20.4495
     174      -0.5497,     174     -26.6374,     174      43.0676,     174     -45.2245,     174      28.9626
     175      -0.3562,     175     -23.3513,     175      35.4913,     175     -39.0470,     175      26.0532
     176       3.3631,     176     -26.8635,     176      37.0367,     176     -35.2892,     176      21.0606
     177      -8.0202,     177     -15.8391,     177      32.6942,     177     -39.1873,     177      29.8832
     178       2.5482,     178     -22.2767,     178      31.3695,     178     -32.2306,     178      20.0604
     179       0.0236,     179     -23.6208,     179      36.5164,     179     -35.9994,     179      23.7768
     180      -6.3530,     180     -15.7823,     180      29.9467,     180     -35.6759,     180      26.4743
     181      -2.8728,     181     -22.0159,     181      35.5236,     181     -38.4876,     181      27.5344
     182       8.0415,     182     -32.3259,     182      40.4952,     182     -38.0173,     182      19.1237
     183      15.4797,     183     -32.1140,     183      35.5811,     183     -27.3276,     183       8.0909
     184       3.2246,     184     -23.7180,     184      33.1202,     184     -32.9611,     184      19.4014
     185       8.2779,     185     -29.0723,     185      40.2737,     185     -35.6643,     185      18.7044
     186       1.4992,     186     -19.2395,     186      28.0097,     186     -27.8538,     186      16.2896
     187      11.9101,     187     -32.3015,     187      36.8229,     187     -31.1955,     187      13.1069
     188       4.7306,     188     -30.2636,     188      41.0133,     188     -41.1773,     188      25.2258
     189       3.6645,     189     -20.3618,     189      27.7628,     189     -26.2873,     189      15.5282
     190      14.0125,     190     -30.3668,     190      33.7065,     190     -27.9446,     190       8.2556
     191       9.2060,     191     -25.9268,     191      31.4403,     191     -26.1112,     191      10.9553
     192      20.0982,     192     -38.4125,     192      39.8166,     192     -30.7597,     192       6.9645
     193      14.3725,     193     -25.0665,     193      25.1088,     193     -16.1638,     193       0.6718
     194      25.4464,     194     -42.4179,     194      45.3432,     194     -29.8639,     194       3.0545
     195      10.7811,     195     -31.7930,     195      36.7039,     195     -33.4071,     195      15.4983
     196       0.8546,     196     -19.7216,     196      31.4268,     196     -30.6311,     196      18.6032
     197      10.2789,     197     -29.3075,     197      35.5543,     197     -32.9827,     197      14.6520
     198       4.3891,     198     -26.4462,     198      37.4189,     198     -38.1136,     198      20.7481
     199      15.5342,     199     -31.8998,     199      33.8742,     199     -26.2807,     199       7.2064
     200      13.7212,     200     -38.5799,     200      47.6009,     200     -41.1524,     200      17.2994
     201      -1.8141,     201     -25.4594,     201      39.1360,     201     -41.8035,     201      28.0382
     202      10.4628,     202     -31.0824,     202      39.2542,     202     -35.2779,     202      16.0522
     203       5.3391,     203     -28.6522,     203      40.6843,     203     -38.3130,     203      21.0874
     204      20.1595,     204     -39.2445,     204      42.5116,     204     -33.7688,     204       9.1326
     205       8.2093,     205     -28.6241,     205      36.5783,     205     -32.2513,     205      15.2872
     206       3.2010,     206     -21.6634,     206      29.2064,     206     -29.2618,     206      16.8886
     207      16.0381,     207     -33.8289,     207      35.5649,     207     -29.1329,     207       9.1332
     208       4.6795,     208     -29.7017,     208      38.8579,     208     -40.0994,     208      21.1095
     209       2.3711,     209     -26.4728,     209      38.0742,     209     -37.7854,     209      22.0210
     210      -4.8364,     210     -19.9953,     210      35.8945,     210     -38.5385,     210      27.4991
     211       8.6706,     211     -32.5571,     211      39.6806,     211     -35.6891,     211      18.4809
     212      15.1160,     212     -33.5019,     212      41.9317,     212     -33.2950,     212      11.3077
     213      -1.4621,     213     -27.3427,     213      44.6255,     213     -47.3968,     213      29.8764
