#Frame      Dih_00121 Dih_00122 Dih_00123 Dih_00124 Dih_00125
     310     -37.2264 49.8867 -43.3028 23.9769 7.7437
     311     -21.6844 40.9816 -47.0066 37.9052 -10.2456
     312     -22.8768 26.2372 -19.8047 7.0940 9.9411
     313     -39.1924 53.4451 -42.0397 20.5824 11.3778
     314     -34.8128 47.1535 -42.6942 23.1783 7.1829
     315     -16.3598 35.6953 -39.7564 31.9111 -10.4919
     316     -17.6355 32.4468 -33.4607 25.7550 -4.8707
     317     -16.1681 30.4216 -32.0907 25.0818 -5.8267
     318     -17.8116 36.5270 -38.3201 28.7853 -7.2156
     319     -36.1267 51.9106 -41.6197 24.9230 7.0725
     320     -42.4553 54.5144 -42.5292 16.8751 16.1902
     321     -14.4058 33.4607 -35.9171 30.8172 -10.3063
     322     -30.6598 47.5967 -44.5702 29.1218 0.1216
     323      -8.6840 30.0848 -39.8750 35.4059 -15.7315
     324     -22.8801 43.0586 -41.5605 32.5087 -5.8380
     325     -42.2098 45.9890 -36.7990 11.6687 19.4295
     326     -37.9422 45.3199 -37.0576 18.4921 10.9431
     327     -24.3524 40.1539 -37.3567 24.4988 0.4207
     328     -45.9717 51.4681 -35.4804 12.8714 18.7520
     329     -46.9893 49.3729 -33.0130 8.4119 23.5883
     330     -23.4274 38.6792 -38.2407 26.3941 -2.5794
     331     -34.9953 41.2722 -30.1796 12.2290 12.9159
     332     -21.5597 32.5618 -31.7284 21.1299 -0.1969
     333     -25.7045 37.4867 -35.9415 23.2446 1.7662
     334     -30.2181 42.9994 -37.4308 21.6993 5.4785
     335     -50.2273 52.8936 -36.7050 8.4589 26.7491
     336     -34.3940 43.7677 -37.6852 19.0483 9.5327
     337     -27.2084 37.9491 -31.7547 19.5697 5.1427
     338     -35.7390 45.0381 -39.6231 20.4912 8.4299
     339     -35.0225 41.4671 -31.5286 12.6386 15.5377
     340     -31.7932 42.9589 -36.5350 19.4432 7.4345
     341     -33.5352 47.0325 -42.7808 26.7573 3.5863
     342     -39.2551 51.3624 -44.4378 19.7179 12.7751
     343     -37.4675 46.9212 -34.5320 13.9830 14.8908
     344     -33.2725 43.7189 -35.5417 19.3752 7.2862
     345     -37.9200 49.2964 -40.0469 20.8989 10.0744
     346     -38.1536 45.3327 -38.2889 19.5073 11.1048
     347     -33.3064 44.2611 -32.9494 15.0014 11.3849
     348     -30.5396 48.1436 -44.3069 28.2055 0.7289
     349     -20.4022 39.3236 -37.4077 28.4552 -5.8981
     350     -16.6031 31.0739 -32.8075 25.3469 -4.9613
     351     -27.4125 43.3162 -44.7857 31.1175 -1.4180
     352     -23.3192 37.7497 -38.3590 27.4450 -2.5216
     353     -35.6173 44.5316 -34.4902 14.5622 13.6676
     354     -13.4304 27.9637 -32.0078 25.0008 -7.5382
     355     -14.8941 30.5050 -33.7363 25.7263 -7.3114
     356     -39.6723 50.8197 -37.2523 12.8035 18.2240
     357     -24.7753 37.4591 -32.7824 20.5104 3.1255
     358     -36.7365 43.3275 -30.9799 11.6477 15.5360
     359     -26.8134 38.5795 -36.3247 23.3806 2.2217
     360     -25.1226 32.7743 -28.8215 15.6717 6.2559
     361     -39.4681 44.9379 -29.5470 9.0706 18.6386
     362     -45.3107 44.6544 -32.2658 7.8312 23.0584
     363     -38.5295 45.3204 -35.9787 14.1158 17.0654
     364     -37.7451 39.5738 -24.7000 2.9961 21.5194
     365     -45.4398 51.3762 -35.7441 12.4908 20.6075
     366     -47.1650 47.6619 -30.3118 3.8013 27.5264
     367     -49.2133 46.4994 -26.6291 -0.8953 33.2252
     368     -44.8718 47.6651 -35.1506 10.7379 21.2602
     369     -41.0137 43.4529 -29.1123 6.6734 21.0424
     370     -40.1865 56.4997 -46.7666 21.7753 12.5895
     371     -37.9551 46.9562 -35.8842 13.8797 15.2562
     372     -39.0602 43.2688 -29.6811 6.3822 20.9272
     373     -41.4048 48.7986 -34.4476 10.6312 18.2697
     374     -40.3214 42.0782 -29.1498 6.5381 22.2571
     375     -48.5404 50.5058 -35.2716 8.5515 24.9089
     376     -57.2229 55.0356 -27.4079 -4.5596 38.3709
     377     -41.2326 44.0053 -27.5851 2.6570 25.3487
     378     -47.5796 48.3054 -28.9594 3.5462 26.7759
     379     -36.1271 43.0591 -32.9065 14.3821 13.9713
     380     -37.8037 43.4683 -31.4427 12.6918 15.2649
     381     -47.9432 50.9711 -33.2664 8.2127 27.0409
     382     -43.7852 51.7815 -39.9708 15.8566 18.0109
     383     -35.7657 46.0227 -36.0684 18.0610 10.5501
     384     -40.3100 52.0182 -37.6366 18.2920 12.8189
     385     -35.4135 43.9644 -32.9176 15.0542 12.5250
     386     -44.8701 42.9702 -25.1933 -0.5849 28.1127
     387     -38.0733 44.5324 -33.1064 12.3206 17.0242
     388     -39.1847 44.5396 -32.9667 11.2868 16.7234
     389     -34.2424 45.3933 -38.1984 20.6413 9.1343
     390     -35.2529 48.4005 -40.2085 22.5983 8.1052
     391     -29.4376 38.2824 -29.7252 14.9287 9.0920
     392     -18.4540 32.7950 -34.0604 24.3792 -3.2297
     393     -29.5883 37.0142 -31.6666 15.1975 9.1060
     394     -31.7649 46.0695 -39.1244 19.7927 7.5751
     395     -37.9011 47.6598 -38.4776 18.6254 10.6162
     396     -30.7388 43.5239 -37.2135 21.0206 6.0483
     397     -18.0146 33.9348 -36.1376 27.3340 -6.1306
     398     -38.5736 44.0638 -33.2152 10.4482 17.4263
     399     -32.2249 44.8521 -40.7896 20.9779 6.5899
     400     -37.3531 47.1487 -39.6533 20.1760 9.6681
     401     -41.9508 47.9732 -33.9980 11.9321 20.1236
     402     -41.4166 41.7261 -27.5045 6.0513 21.3717
     403     -50.8984 51.1857 -34.4550 4.7642 29.6601
     404     -27.2627 39.1083 -33.1021 17.9795 5.6878
     405     -50.9352 52.8287 -30.0372 3.6264 27.6073
     406     -49.4481 50.4632 -33.2421 5.3680 27.5529
     407     -41.4062 50.4508 -38.3142 16.6847 14.1619
     408     -44.9793 41.3590 -21.4204 -3.8041 31.7322
     409     -38.7739 43.6398 -29.3127 9.3323 17.2631
     410     -36.7555 45.4130 -37.4167 18.8896 10.0967
     411     -46.0276 50.0696 -32.3333 6.2869 24.9696
     412     -36.7281 44.4776 -34.1890 17.0960 9.9325
     413     -53.5624 48.1079 -26.5185 -2.6007 33.7711
     414     -41.8971 41.0712 -25.3505 2.5954 24.0372
     415     -41.9074 47.7331 -34.2969 10.1010 20.7601
     416     -26.3135 37.8701 -34.9271 20.0553 4.5216
     417     -45.0323 50.9729 -37.1008 13.0147 19.0485
     418     -51.1434 46.1563 -29.3547 2.6232 28.8948
     419     -46.9439 47.9751 -28.7571 2.6692 27.7258
     420     -43.9680 53.2205 -40.6424 14.0896 19.3517
     421     -48.9835 45.7832 -30.4355 4.0108 29.2714
     422     -39.3094 43.2946 -29.6416 7.6533 20.1527
     423     -47.2313 47.9463 -32.5604 8.8597 21.8905
     424     -39.2263 41.9913 -33.7511 12.3487 17.1841
     425     -40.0932 45.5076 -34.7803 13.7373 16.2871
     426     -47.6935 47.6380 -30.7048 5.7310 25.4464
     427     -40.0595 51.4370 -38.7832 18.0018 12.5444
     428     -41.3262 40.0878 -24.4129 2.1662 24.6047
     429     -42.9457 43.3449 -26.5343 4.0300 23.4152
     430     -35.5397 43.6118 -36.6617 15.9145 14.0006
     431     -45.3200 45.9315 -30.0072 3.6583 26.6944
     432     -41.4572 47.1271 -31.9233 6.3433 23.4289
     433     -36.4599 46.9598 -35.4939 15.2428 12.4185
     434     -21.3781 38.3753 -38.8264 28.7316 -4.6919
     435     -34.8843 42.9944 -34.1643 15.7169 12.2423
     436     -21.8776 41.7139 -41.2069 31.2455 -6.0565
     437     -36.5450 41.6725 -28.9146 9.1316 17.1413
     438     -38.1052 48.6298 -37.3531 16.8891 12.0657
     439     -41.6130 44.7712 -31.0690 8.5126 20.9868
     440     -33.7625 41.6460 -32.0080 14.3241 12.8053
     441     -34.2235 42.6330 -33.5482 15.4513 10.7112
     442     -40.1725 47.8602 -37.5896 16.3342 15.3367
     443     -44.5146 46.8250 -27.8469 1.2976 28.2717
     444     -44.6552 45.7344 -32.3163 5.8608 24.3112
     445     -45.2550 51.6824 -34.1813 8.9911 21.6720
     446     -52.6128 54.4460 -36.0624 6.7723 27.7726
     447     -50.1657 47.7639 -32.4535 6.0966 26.7321
     448     -45.2064 48.5562 -33.2839 9.0413 22.5708
     449     -29.5470 41.8937 -36.8220 20.0825 5.6504
     450     -45.3495 46.9463 -32.2135 7.4466 23.5566
     451     -41.2451 49.7044 -36.3700 13.0639 18.1164
     452     -33.5329 45.5542 -38.9770 21.3793 6.8230
     453     -33.7767 43.5711 -36.1396 17.5153 9.5282
     454     -42.3699 46.9157 -31.1180 6.2861 23.0406
     455     -43.0095 48.4618 -33.7581 10.9158 18.3241
