#Frame      Dih_00091 Dih_00092 Dih_00093 Dih_00094 Dih_00095
     304     -34.2546 41.9949 -32.9886 15.4902 11.5924
     305     -38.0290 47.5741 -38.4186 17.1530 13.4664
     306     -42.0068 48.4728 -36.9409 13.4343 18.8776
     307     -37.9037 47.0511 -38.4619 19.9345 10.0259
     308     -33.2242 47.0351 -39.7800 23.7462 5.3312
     309     -42.8034 48.8194 -36.1519 11.7453 19.6861
     310     -43.8227 52.8577 -39.1901 19.6229 13.4682
     311     -21.1645 33.3767 -29.1730 16.8990 2.3161
     312     -34.0074 40.5112 -30.3523 13.7602 11.4270
     313     -37.4477 47.4535 -36.3095 14.4325 14.7365
     314     -24.0318 38.2736 -39.6413 26.3928 -1.5926
     315     -34.3592 47.9208 -40.5833 24.6994 3.2277
     316     -19.8321 37.1507 -38.0322 27.5631 -4.7792
     317     -33.1716 46.9555 -39.8836 22.3878 4.9787
     318     -26.2000 38.8489 -33.3727 20.0007 3.5770
     319     -34.6432 48.7537 -42.0824 23.3567 6.4977
     320     -37.6203 44.1158 -32.1293 10.5790 17.2138
     321     -32.1810 34.7549 -27.3998 10.8681 13.0063
     322     -37.4160 45.2836 -38.7140 15.9829 13.2022
     323     -33.8154 42.5774 -31.2391 12.7077 13.9709
     324     -42.4499 48.7130 -42.6843 17.8748 14.3112
     325     -35.8926 43.5961 -34.4828 16.0176 12.0921
     326     -36.3219 48.1046 -43.8106 22.1353 10.3057
     327     -42.4943 49.6522 -37.0214 14.2554 16.2839
     328     -31.9384 41.0910 -32.4907 14.3191 10.8959
     329     -35.9079 48.2560 -39.4754 19.0665 9.8333
     330     -40.7091 49.7968 -36.4629 14.1103 15.8594
     331     -35.0756 44.7655 -35.2874 16.8185 11.6666
     332     -33.6087 42.4685 -34.2103 17.1756 9.6690
     333     -43.1432 49.8470 -35.7851 11.4352 20.6357
     334     -40.6666 49.1956 -37.1951 16.2059 14.4506
     335     -38.3745 47.0746 -34.6720 13.8863 14.7193
     336     -23.6307 38.8824 -39.3188 26.3735 -1.6784
     337     -21.7527 36.8680 -36.1493 25.9412 -2.9089
     338     -31.6464 37.2668 -29.3522 10.5700 14.0712
     339     -34.9998 44.9158 -34.6650 14.8872 12.2780
     340     -33.5272 39.2258 -29.1099 9.8462 15.0844
     341      -8.8458 29.8388 -38.6066 36.3325 -18.1378
     342     -44.9426 47.9767 -32.3111 8.7329 21.6236
     343     -40.7722 50.7793 -41.1014 18.3669 14.1180
     344     -28.2878 36.3519 -31.7797 16.3963 7.5301
     345     -49.2905 52.8218 -37.1766 8.3472 25.1044
