#Frame      Dih_00146 Dih_00147 Dih_00148 Dih_00149 Dih_00150
     235     -21.3177 39.1887 -38.7429 27.4823 -3.8662
     236     -12.5890 28.9411 -32.3905 28.1835 -10.4612
     237     -22.6141 38.1980 -38.4254 28.8204 -4.1400
     238     -23.5175 31.1047 -25.3437 13.0344 5.7435
     239     -24.6839 37.3596 -37.4917 26.0078 -1.4944
     240     -24.1521 31.4344 -27.0255 14.9695 5.7168
     241     -20.5917 27.6399 -22.0075 11.0912 5.0477
     242     -17.6379 32.1294 -33.9008 25.9940 -5.5153
     243     -23.0815 29.5497 -24.1420 12.5077 5.8181
     244     -23.9457 39.7254 -38.5388 26.6344 -2.1573
     245     -28.3364 40.7712 -34.9297 19.8289 5.5615
     246     -33.2016 41.6216 -30.0522 12.6612 12.4346
     247       2.3659 14.1861 -24.6005 25.5958 -18.5128
     248     -38.8226 49.9876 -42.0016 21.1645 11.3064
     249     -32.5711 47.8540 -41.2390 24.9179 3.9685
     250     -15.7525 34.0218 -37.7404 28.2770 -7.9982
     251     -31.3307 41.3046 -33.2455 17.1510 8.2095
     252     -12.7631 32.4545 -37.5818 31.9319 -12.0792
     253      -8.1564 27.9504 -36.2429 32.9225 -15.4718
     254     -36.6838 41.1542 -30.6193 10.1287 17.0444
     255     -30.1451 44.7782 -38.9439 22.9643 3.5635
     256     -37.6677 44.2526 -28.3642 6.6879 20.1575
     257     -31.3052 42.6155 -39.5050 23.6014 4.3221
     258      -5.6175 25.4205 -31.7142 31.4429 -16.7093
     259     -34.8259 22.6946 -3.4189 -16.1111 31.5596
     260     -18.3444 27.7591 -27.3370 18.1934 0.1848
     261     -26.0761 28.8476 -18.6130 3.1174 14.4957
     262       2.0959 15.0126 -25.2540 27.2782 -18.4782
     263     -13.1540 15.6334 -13.8278 6.0286 4.6201
     264       1.2556 18.3699 -27.5471 29.4852 -20.0884
     265     -11.7823 34.5525 -42.3931 37.3053 -14.8016
     266     -22.8787 32.0239 -26.8279 12.1752 7.4290
     267      -5.6406 18.2748 -21.5631 18.7848 -9.3305
     268     -23.1160 34.2698 -31.8349 17.1752 3.9427
     269       2.1447 23.5035 -38.4182 39.7767 -28.0399
     270     -12.8632 18.0669 -15.5675 9.4465 1.9043
     271     -30.8321 28.8603 -17.9000 0.1328 20.3570
     272     -22.2916 22.5763 -13.5853 1.3080 13.1426
     273       6.0275 10.7608 -21.2811 25.6227 -20.3868
     274     -32.8980 32.9122 -17.9984 -0.2229 19.9055
     275     -24.7860 30.1950 -22.3460 8.1571 10.1821
     276     -12.6308 26.7354 -28.3087 22.1811 -6.0015
     277     -12.5768 28.4263 -32.7379 24.9683 -8.1043
     278      -9.4357 30.4245 -37.2999 33.6608 -16.0783
     279     -11.4334 23.3039 -24.4860 18.5451 -5.1582
     280      -1.1017 17.6767 -25.2236 24.6000 -15.5237
     281      -7.7776 23.3270 -29.1260 25.2486 -11.4306
     282     -11.1928 23.1867 -24.3501 17.6917 -4.7357
     283      -3.8875 22.1373 -29.2188 30.1361 -16.3321
     284     -12.8148 29.6275 -34.6929 29.0158 -9.8990
     285     -17.9639 36.2678 -35.3608 27.1559 -6.3729
     286     -17.6086 27.2027 -23.6127 15.1233 0.5359
     287     -19.2990 27.1548 -21.3645 9.3461 6.3775
     288     -24.4133 42.4620 -38.8787 27.0152 -2.7010
     289     -22.7174 26.8785 -20.5795 8.5943 8.5598
     290     -28.9725 38.8951 -33.5012 15.3827 9.2753
     291     -40.8373 45.3118 -33.3593 12.0017 17.1095
     292     -20.0842 31.7629 -29.6944 21.8784 -1.2242
     293     -32.6170 42.1274 -34.3790 18.6594 8.5550
     294     -25.6492 40.8844 -36.4910 23.6308 0.2189
     295     -10.6763 32.9155 -40.2851 35.8033 -16.8403
     296     -33.2121 43.6759 -34.0701 14.9285 11.1645
     297     -18.3495 32.5331 -32.7618 21.9987 -2.1130
     298     -35.2456 48.4206 -38.6634 21.6688 8.5865
     299     -23.1099 32.9644 -28.3700 14.8458 5.0313
     300     -21.6679 31.4932 -27.4136 16.4375 2.9937
     301     -30.3341 26.6188 -14.5463 -2.6316 20.7840
     302     -20.6642 24.2423 -17.3737 5.7201 9.1922
     303     -40.3381 44.4128 -32.0679 11.4769 18.7999
     304     -42.6595 48.9580 -35.4157 12.8480 18.0904
     305     -15.2752 32.3755 -37.0446 28.9935 -8.2961
     306     -33.1401 36.0060 -24.2890 6.8533 15.1748
     307     -38.4047 41.3758 -29.5745 9.1781 18.4484
     308     -43.4659 50.2044 -35.7650 11.7030 20.0132
     309     -38.9866 52.9685 -42.9099 21.5778 11.4071
     310     -26.2585 39.4052 -39.5588 26.9599 -0.8791
     311     -41.3661 48.2537 -35.6212 13.1250 18.1862
     312     -36.1873 44.8048 -34.3078 17.5373 11.0457
     313     -10.1692 26.2727 -30.6477 26.7291 -10.6761
     314     -26.8028 40.3318 -40.7242 28.6235 -1.5502
     315     -24.5431 37.7867 -33.5945 22.1326 0.3059
     316     -34.7663 40.4096 -31.7974 12.7025 13.8487
     317     -34.4843 39.2304 -27.6844 9.7956 15.8234
     318     -29.7534 40.7796 -37.8837 22.2677 3.5722
     319     -12.3320 27.8085 -32.8354 27.8500 -10.1393
     320     -16.2777 36.5534 -37.4844 28.9978 -8.8236
     321     -24.3897 42.0182 -39.9545 29.4815 -4.0305
