#Frame      Dih_00136,#Frame      Dih_00137,#Frame      Dih_00138,#Frame      Dih_00139,#Frame      Dih_00140
     168      -6.0488,     168     -16.6374,     168      30.6529,     168     -35.1600,     168      26.9831
     169      -5.6002,     169     -10.8801,     169      21.8001,     169     -26.1359,     169      19.7491
     170      -8.1648,     170     -19.6117,     170      40.4115,     170     -47.3719,     170      34.0299
     171       5.2290,     171     -29.7005,     171      43.9537,     171     -41.7121,     171      24.1251
     172      -6.0821,     172     -22.6290,     172      37.5169,     172     -43.0960,     172      32.5001
     173     -11.7825,     173     -11.1086,     173      29.7027,     173     -38.2804,     173      31.2436
     174     -17.2211,     174      -9.2817,     174      30.0337,     174     -41.9321,     174      36.8326
     175     -16.5201,     175      -2.4248,     175      18.4088,     175     -28.4380,     175      29.3042
     176      -6.7203,     176     -17.2050,     176      31.0847,     176     -36.7864,     176      28.5766
     177       9.2794,     177     -31.7411,     177      37.8642,     177     -35.6713,     177      17.8984
     178      -1.1650,     178     -23.5594,     178      36.9563,     178     -39.8291,     178      26.3682
     179      -1.5602,     179     -23.9823,     179      40.2009,     179     -42.2296,     179      26.9311
     180       0.2754,     180     -26.5874,     180      42.1765,     180     -43.0781,     180      26.2933
     181     -10.8714,     181     -11.8199,     181      27.6462,     181     -35.6950,     181      29.7640
     182     -29.1934,     182       6.7950,     182      16.0149,     182     -34.2777,     182      42.0563
     183     -18.9709,     183      -2.8469,     183      21.6852,     183     -35.7943,     183      33.1739
     184     -12.0985,     184     -15.2437,     184      32.9616,     184     -41.9588,     184      35.7372
     185     -33.5205,     185       8.4066,     185      17.9493,     185     -38.3902,     185      45.1370
     186     -22.0174,     186      -3.7276,     186      25.7816,     186     -40.4444,     186      40.6337
     187     -31.2248,     187      10.4969,     187      12.4826,     187     -32.6705,     187      39.7348
     188      -9.1122,     188     -19.0261,     188      37.7932,     188     -44.3167,     188      33.8188
     189     -32.1669,     189       5.0362,     189      20.5639,     189     -39.0930,     189      47.8445
     190     -29.7999,     190       3.9807,     190      21.3685,     190     -39.0274,     190      42.0304
     191     -28.2400,     191      -1.4339,     191      28.0784,     191     -48.2935,     191      50.5573
     192     -21.6152,     192      -5.7740,     192      28.1240,     192     -40.3166,     192      37.9477
     193     -13.7303,     193     -13.5295,     193      33.2945,     193     -40.8034,     193      35.1751
     194      -1.2071,     194     -21.9280,     194      35.8003,     194     -40.5235,     194      24.5764
     195      -8.0121,     195     -13.7975,     195      28.1184,     195     -34.7681,     195      27.3537
     196     -16.4101,     196      -3.8236,     196      21.3749,     196     -31.6801,     196      30.1926
     197      -2.3199,     197     -23.6757,     197      39.2373,     197     -40.6666,     197      28.0094
     198     -10.7793,     198     -13.7826,     198      31.1520,     198     -38.9451,     198      30.0637
     199      -8.1403,     199     -14.9726,     199      30.4318,     199     -36.8136,     199      30.0382
     200       0.8025,     200     -24.3030,     200      33.7591,     200     -36.9828,     200      22.9592
     201     -21.8898,     201       3.3709,     201      14.6990,     201     -26.4634,     201      29.9805
     202     -20.3046,     202     -11.9106,     202      37.8957,     202     -50.2405,     202      46.2540
     203     -23.6371,     203      -4.8262,     203      27.4494,     203     -43.6811,     203      40.3293
     204      -9.6493,     204     -11.1101,     204      25.5361,     204     -30.9611,     204      26.6831
     205       1.5520,     205     -20.5813,     205      29.7851,     205     -31.1501,     205      18.9675
     206      -5.8493,     206     -15.5011,     206      28.5682,     206     -34.5981,     206      25.9363
     207     -28.9516,     207      -1.7474,     207      27.7504,     207     -46.2238,     207      45.7188
     208      -3.5510,     208     -20.9833,     208      35.6680,     208     -38.4980,     208      26.7093
     209     -11.2797,     209     -16.6212,     209      35.4051,     209     -43.9223,     209      34.4015
     210     -11.8170,     210     -14.7936,     210      34.0662,     210     -44.3124,     210      35.8691
