#Frame      Dih_00061,#Frame      Dih_00062,#Frame      Dih_00063,#Frame      Dih_00064,#Frame      Dih_00065
     126     -37.6745,     126      23.2587,     126      -2.7005,     126     -19.5729,     126      35.6363
     127     -34.7801,     127      22.6742,     127      -2.7283,     127     -18.3603,     127      34.4933
     128     -43.7247,     128      19.3191,     128      10.1317,     128     -35.6232,     128      47.2148
     129     -44.8050,     129      21.0182,     129       5.8676,     129     -32.2534,     129      50.5602
     130     -37.7284,     130      12.9826,     130      14.1763,     130     -36.9343,     130      46.9554
     131     -29.0064,     131       4.7206,     131      17.1905,     131     -35.6680,     131      40.2438
     132     -30.3992,     132       2.9000,     132      22.5860,     132     -39.6075,     132      45.4741
     133     -34.7331,     133      11.5958,     133      14.0835,     133     -34.6233,     133      41.6495
     134     -39.5751,     134      23.9413,     134       0.7552,     134     -24.0066,     134      37.1977
     135     -37.1741,     135      13.3095,     135      13.5587,     135     -36.0119,     135      45.2224
     136     -42.5536,     136      20.7694,     136       4.9646,     136     -29.1335,     136      43.0402
     137     -36.8505,     137      14.4181,     137      12.2472,     137     -34.0385,     137      44.9377
     138     -43.3819,     138      27.9694,     138      -3.4033,     138     -22.9217,     138      41.4692
     139     -36.0913,     139      21.5571,     139      -1.0492,     139     -20.5185,     139      38.0013
     140     -24.3341,     140      -0.2598,     140      20.7371,     140     -33.7662,     140      38.3921
     141     -35.2622,     141      20.3010,     141       0.4280,     141     -21.1293,     141      34.6848
     142     -45.9373,     142      33.7089,     142      -9.9735,     142     -16.9191,     142      41.1914
     143     -31.6305,     143      21.3327,     143      -1.6858,     143     -17.8089,     143      31.2433
     144     -46.4426,     144      25.2576,     144       2.1192,     144     -29.4988,     144      49.0534
     145     -43.1606,     145      26.8223,     145      -0.5989,     145     -28.3255,     145      49.5148
     146     -48.3877,     146      26.0834,     146       1.0039,     146     -29.1629,     146      49.6668
     147     -40.6423,     147      12.1170,     147      16.1027,     147     -39.4283,     147      50.0483
     148     -43.8832,     148      32.2533,     148      -7.2551,     148     -19.2590,     148      40.9758
     149     -34.3259,     149      20.9660,     149      -0.9967,     149     -17.0171,     149      30.3773
     150     -39.6086,     150      16.1881,     150      11.2967,     150     -35.5475,     150      46.8401
     151     -37.2273,     151      27.7409,     151      -8.4688,     151     -13.3216,     151      33.1270
     152     -26.0965,     152      19.7939,     152      -4.9927,     152     -11.9136,     152      24.2686
     153     -14.5529,     153     -17.1534,     153      38.3391,     153     -46.0663,     153      40.2561
     154      -3.0172,     154     -18.8745,     154      31.6960,     154     -34.4775,     154      22.7640
     155     -26.0704,     155       1.3739,     155      21.6712,     155     -36.0771,     155      41.6109
     156     -56.0125,     156      48.0534,     156     -24.8532,     156      -7.3378,     156      37.2208
     157     -44.4655,     157      48.8938,     157     -31.6196,     157       7.6290,     157      22.2743
     158     -35.7172,     158      35.5787,     158     -21.2953,     158       1.3300,     158      21.1645
     159     -40.8873,     159      34.4390,     159     -16.0338,     159      -8.0441,     159      31.4737
     160     -39.4508,     160      34.7189,     160     -18.7346,     160      -3.5553,     160      27.2632
     161     -31.3461,     161      37.7025,     161     -29.4983,     161      11.9934,     161      11.0673
     162     -41.2222,     162      32.2118,     162     -10.1742,     162     -14.2228,     162      36.9545
     163     -24.8002,     163      19.3733,     163      -7.0848,     163      -7.9774,     163      21.7672
     164     -37.9137,     164      25.8910,     164      -5.9656,     164     -15.6356,     164      34.6230
     165     -21.3735,     165      34.3285,     165     -30.6793,     165      19.0168,     165       1.0134
     166     -19.2563,     166      32.0348,     166     -29.5620,     166      19.6417,     166      -0.3894
     167     -34.9149,     167      46.6705,     167     -37.6371,     167      21.4707,     167       7.0306
     168     -34.9666,     168      43.4248,     168     -36.3888,     168      18.2725,     168      10.0382
     169     -36.5548,     169      42.2669,     169     -27.9617,     169       6.0600,     169      19.0943
     170     -24.3089,     170      34.3171,     170     -33.7400,     170      20.8261,     170       2.1123
     171     -33.4426,     171      45.9873,     171     -36.8089,     171      19.8066,     171       7.1589
     172     -48.2660,     172      31.4340,     172      -5.2643,     172     -22.3708,     172      43.4490
     173     -32.4058,     173      47.9504,     173     -44.0346,     173      26.1684,     173       3.3516
     174     -41.5678,     174      51.6991,     174     -37.7130,     174      13.1962,     174      18.0267
     175     -48.8628,     175      48.0391,     175     -31.2933,     175       4.5026,     175      27.7625
     176     -41.8921,     176      51.2236,     176     -37.7675,     176      13.1063,     176      18.3129
     177     -36.9947,     177      43.0042,     177     -31.4006,     177      10.5661,     177      17.1617
     178     -38.3460,     178      39.6036,     178     -23.1068,     178       1.9697,     178      22.8672
     179     -50.8564,     179      52.2134,     179     -36.4008,     179       8.1220,     179      26.0152
     180     -30.0822,     180      40.9228,     180     -31.8513,     180      17.9983,     180       6.8700
     181     -37.9352,     181      42.6075,     181     -31.5625,     181      10.8119,     181      16.1498
     182     -32.4962,     182      46.2185,     182     -39.1192,     182      21.8347,     182       6.5694
     183     -40.1563,     183      50.4753,     183     -40.8468,     183      18.4309,     183      12.5615
     184     -42.1003,     184      46.6239,     184     -33.4617,     184      10.0224,     184      20.3624
     185     -33.0383,     185      41.4918,     185     -32.4337,     185      13.4343,     185      12.9743
     186     -38.6584,     186      26.5323,     186      -4.9537,     186     -19.0861,     186      39.2871
     187     -32.1584,     187      37.9243,     187     -26.2192,     187      10.4605,     187      12.9325
     188     -48.4604,     188      52.1416,     188     -40.6902,     188      15.3384,     188      19.3322
     189     -39.4208,     189      49.2836,     189     -37.7421,     189      14.0396,     189      16.7717
     190     -27.7096,     190      39.4800,     190     -34.8756,     190      18.4274,     190       6.0733
     191     -37.4762,     191      47.4281,     191     -39.6398,     191      17.2517,     191      12.1560
     192     -26.6715,     192      43.4361,     192     -40.9039,     192      27.4338,     192      -1.1540
     193     -35.5123,     193      34.0013,     193     -20.1729,     193       1.1630,     193      21.2703
     194     -32.7878,     194      28.1285,     194     -12.8743,     194      -4.8322,     194      21.7362
     195     -38.1214,     195      42.2838,     195     -30.4918,     195      10.4802,     195      15.2257
     196     -23.4152,     196      37.0043,     196     -33.4939,     196      20.9687,     196       0.8207
     197      -7.2707,     197      27.3726,     197     -34.9010,     197      31.8595,     197     -15.7390
     198     -30.5028,     198      45.9086,     198     -39.0720,     198      23.4154,     198       4.0390
     199     -35.7934,     199      45.1833,     199     -38.8431,     199      18.9072,     199      10.7150
     200     -29.8717,     200      39.3431,     200     -31.8779,     200      13.3145,     200      10.3940
     201     -31.4606,     201      40.4799,     201     -33.0538,     201      18.3726,     201       6.9879
     202     -35.6312,     202      46.0304,     202     -39.5740,     202      21.8574,     202       7.7439
     203     -30.0290,     203      45.6374,     203     -41.8315,     203      25.4643,     203       3.1366
     204     -33.4919,     204      41.9477,     204     -34.5736,     204      15.9865,     204      10.5955
     205     -33.2856,     205      38.0068,     205     -27.0834,     205       8.4463,     205      14.5778
     206     -17.7776,     206      34.4102,     206     -37.5833,     206      31.4595,     206      -8.9737
     207     -33.9923,     207      48.3612,     207     -44.4418,     207      23.8617,     207       6.9439
     208     -37.3564,     208      42.3351,     208     -30.4626,     208      10.2878,     208      16.9304
     209     -40.0485,     209      25.5134,     209      -2.2562,     209     -21.2884,     209      37.9783
     210     -38.4979,     210      11.4533,     210      17.4394,     210     -40.1264,     210      50.9903
     211     -36.9832,     211      38.2404,     211     -21.8509,     211      -1.4286,     211      26.2828
     212     -34.7552,     212      34.9051,     212     -19.3847,     212      -1.7228,     212      24.2431
     213     -41.4033,     213      29.4685,     213      -7.0263,     213     -15.9596,     213      35.5394
     214     -40.1429,     214      20.5604,     214       3.6561,     214     -25.5978,     214      42.5204
     215     -26.2107,     215      38.9163,     215     -36.0947,     215      23.0626,     215       1.9731
     216     -39.5975,     216      29.4020,     216     -13.0054,     216      -8.7420,     216      30.3755
     217     -53.6735,     217      42.4564,     217     -20.9652,     217      -8.6326,     217      41.3199
     218     -41.3709,     218      32.5844,     218     -12.0889,     218     -11.2274,     218      33.8266
     219     -29.4486,     219      33.3070,     219     -23.1801,     219       6.8525,     219      13.8760
     220     -25.8778,     220      20.2402,     220      -6.5372,     220      -9.6228,     220      23.0022
     221     -36.3364,     221      27.1507,     221      -6.4991,     221     -16.6890,     221      32.9231
     222     -36.7618,     222      24.1281,     222      -3.1054,     222     -17.6860,     222      34.4887
     223     -42.4470,     223      23.2101,     223       1.2005,     223     -27.1836,     223      43.1609
     224     -48.3870,     224      32.9343,     224      -9.2690,     224     -17.2478,     224      42.7746
     225     -33.0604,     225      18.0443,     225       2.6320,     225     -23.2304,     225      35.1521
     226     -34.3967,     226      13.1548,     226      12.1478,     226     -32.0310,     226      41.6432
     227     -38.7303,     227      30.0335,     227      -9.5409,     227     -12.7303,     227      33.0373
     228     -10.7378,     228      -6.7483,     228      20.6248,     228     -28.7560,     228      24.6229
     229     -38.3643,     229      22.4572,     229       1.7639,     229     -25.8820,     229      42.9849
     230     -42.9088,     230      45.5214,     230     -31.2160,     230       8.7302,     230      22.0115
     231     -34.1043,     231      20.7615,     231      -0.3453,     231     -18.2769,     231      31.8292
     232     -47.4393,     232      27.2840,     232       0.7507,     232     -27.7277,     232      48.8394
     233     -27.8387,     233      31.0901,     233     -19.9975,     233       5.2290,     233      13.9824
     234     -20.5928,     234       6.7647,     234       8.0372,     234     -20.1221,     234      24.7267
     235     -32.9688,     235      15.6362,     235       4.5906,     235     -24.2544,     235      38.0133
     236     -33.2999,     236      17.2408,     236       5.5338,     236     -25.8841,     236      39.3737
     237     -30.9720,     237       7.5598,     237      16.5059,     237     -36.3563,     237      45.9189
     238     -44.5324,     238      32.8885,     238      -7.5928,     238     -18.4194,     238      39.2749
     239     -26.5415,     239      37.4108,     239     -33.0833,     239      19.5000,     239       4.3529
     240     -28.8094,     240      36.7174,     240     -31.4428,     240      14.0972,     240       9.1919
     241     -31.6060,     241      45.1776,     241     -42.5110,     241      23.6759,     241       5.7336
     242     -28.2226,     242      41.2490,     242     -39.3483,     242      25.5621,     242       1.5868
     243     -23.9605,     243      37.0352,     243     -35.8044,     243      24.3740,     243      -0.2281
     244     -22.0678,     244      42.3196,     244     -44.8590,     244      33.6028,     244      -5.8325
     245     -30.2265,     245      42.5559,     245     -38.0518,     245      21.4943,     245       5.2823
     246      -3.8079,     246      14.9149,     246     -21.2477,     246      19.8431,     246      -9.8643
     247     -21.8847,     247      36.8899,     247     -35.4674,     247      23.0216,     247       0.0828
     248     -32.3882,     248      39.3336,     248     -32.9503,     248      15.3884,     248      10.7476
     249     -11.0710,     249      28.6884,     249     -34.0476,     249      28.2279,     249     -10.0799
     250     -24.1391,     250      26.5754,     250     -18.4730,     250       4.5025,     250      12.5541
     251     -46.4779,     251      40.3534,     251     -20.7205,     251      -5.7033,     251      33.9071
     252     -22.9810,     252       7.9141,     252       8.6803,     252     -21.6594,     252      27.7712
     253     -33.6577,     253      27.8658,     253     -11.4224,     253      -8.1960,     253      26.5292
     254     -44.6368,     254      32.1462,     254      -6.7672,     254     -18.9281,     254      38.3097
     255     -40.7870,     255      34.5844,     255     -15.1709,     255      -8.7644,     255      32.1795
     256     -41.2855,     256      33.0801,     256     -16.3070,     256      -6.5621,     256      29.2263
     257     -43.1917,     257      31.6053,     257     -12.4893,     257     -10.9082,     257      35.5285
     258     -38.7282,     258      30.1490,     258     -10.6758,     258     -12.5151,     258      32.7373
     259     -36.8661,     259      29.6699,     259     -13.1390,     259      -7.8144,     259      27.3555
     260     -40.5472,     260      30.6194,     260     -12.7073,     260     -10.2738,     260      32.4433
     261     -46.1727,     261      28.9438,     261      -2.1574,     261     -25.4731,     261      46.4208
     262     -47.1848,     262      29.8089,     262      -4.1506,     262     -22.5958,     262      42.8589
     263     -45.9809,     263      22.1506,     263       6.2037,     263     -33.8188,     263      53.2691
     264     -44.0383,     264      28.3900,     264      -4.6628,     264     -19.4620,     264      37.8394
     265     -52.3156,     265      30.9396,     265       0.3681,     265     -32.2382,     265      54.3416
     266     -45.3760,     266      28.1255,     266      -4.3604,     266     -22.4532,     266      43.2608
     267     -35.2429,     267      27.9199,     267      -7.5568,     267     -12.6360,     267      30.6439
     268     -19.5556,     268      -2.2545,     268      21.5435,     268     -36.9921,     268      34.1626
     269       7.6249,     269     -34.5840,     269      49.4903,     269     -42.7533,     269      21.6378
     270     -28.1048,     270       2.1651,     270      22.0817,     270     -38.8239,     270      39.9829
     271     -32.1580,     271      11.6798,     271       9.9512,     271     -25.7663,     271      36.9309
     272     -43.6039,     272      39.8064,     272     -22.1674,     272      -1.3034,     272      25.8880
