#Frame      Dih_00116 Dih_00117 Dih_00118 Dih_00119 Dih_00120
     263      17.6341 -25.0342 22.1735 -11.8029 -3.8540
     264      -9.0824 -3.5861 13.0367 -19.3522 17.6120
     265      -9.5044 -10.3624 23.4855 -31.8164 25.7470
     266       5.7222 -23.3878 30.5370 -28.7816 15.5987
     267       6.7620 -28.3093 36.9961 -33.2705 17.6006
     268       6.0282 -17.6696 21.4623 -17.4174 8.0704
     269      -2.0960 -18.6015 28.2546 -29.8230 21.4289
     270     -12.2039 -9.4676 25.1658 -34.4347 30.3560
     271       0.1314 -18.2148 27.5217 -28.3972 18.2312
     272      -8.7665 -12.9819 28.5290 -35.6493 27.9278
     273     -13.2944 -11.1966 29.4830 -40.3616 33.6967
     274       2.7433 -25.0365 35.9258 -34.5673 21.4849
     275     -15.2165 -10.2750 28.8967 -38.6010 35.2093
     276      11.6173 -33.0813 40.1943 -34.8929 14.5271
     277       8.5953 -23.1714 27.1845 -23.1178 9.2924
     278     -14.1852 -2.6703 16.9344 -26.8771 25.9165
     279       4.8788 -26.4922 34.6085 -34.4566 19.7154
     280       1.8056 -16.3243 22.0343 -23.7707 14.4170
     281     -11.3174 -6.7386 20.2667 -27.4639 24.3604
     282     -22.0724 1.4657 15.8821 -27.2358 31.9406
     283       0.5848 -21.9506 33.8518 -33.1457 21.6969
     284      14.7947 -24.9597 23.6924 -16.2280 1.1613
     285     -12.6317 -8.3618 22.8376 -30.3338 28.6929
     286     -25.5961 -1.9366 25.2752 -43.0064 44.0616
     287     -20.0726 -8.8396 30.4941 -44.3149 40.2743
     288       3.7223 -17.9580 23.8799 -22.2629 12.1408
     289      -0.2739 -23.0691 36.5154 -38.0294 24.0177
     290     -11.0664 -12.2204 28.8753 -38.1237 31.3282
     291     -13.0537 0.4836 11.2103 -19.5205 20.1977
     292     -18.7920 -5.6978 25.6691 -37.6926 36.6140
     293      -7.0422 -5.3088 14.1478 -20.1376 17.3507
     294      -8.7118 -5.0650 16.1939 -21.6374 19.6963
     295      -7.1438 -13.1399 25.3897 -32.6656 25.4820
     296     -18.7509 -7.0534 28.1793 -39.0878 38.4948
     297     -15.8911 -9.9112 30.9182 -40.1353 35.5612
     298       8.2766 -28.1842 33.9353 -30.5900 14.0992
     299     -19.5270 -1.2349 19.3373 -32.1561 32.6177
     300     -23.6078 0.1655 21.6617 -33.6378 39.1682
     301       0.3671 -25.2072 38.1307 -37.8971 24.6582
     302     -13.8432 -19.5635 41.1453 -51.2848 40.2347
     303      -3.8121 -16.2252 27.6411 -32.2379 23.5681
     304     -11.7020 -16.4563 36.0224 -44.6417 35.8204
     305       6.7623 -28.9504 37.4114 -33.6287 17.8590
     306      -4.2398 -11.9507 21.6632 -24.2994 19.3314
     307      17.9358 -30.8940 31.6448 -22.3061 3.2842
     308       1.9677 -19.8830 30.4977 -30.6453 18.4454
     309     -13.6275 0.6931 11.3426 -21.1455 22.0897
     310       8.2123 -23.7880 27.6491 -24.9879 10.7476
     311     -12.7766 -12.1671 29.2607 -39.4349 33.7664
     312      18.4321 -23.6507 19.8833 -9.7930 -5.5137
     313      11.7809 -24.1500 25.7291 -19.9186 5.2823
     314      12.8177 -18.4449 16.0870 -7.7999 -3.6620
     315       3.6884 -22.7216 30.5086 -28.4546 16.3618
     316       4.2116 -20.5660 28.1281 -26.6230 14.2497
     317      18.2018 -10.6198 0.3096 11.5967 -19.2319
     318      22.5619 -28.0619 21.6950 -8.3369 -10.0280
     319      13.8448 -11.2674 4.6197 3.7204 -11.2371
     320      15.0631 -21.8141 19.8181 -11.6431 -2.1046
     321       3.3794 -15.5094 20.6831 -18.7358 9.9889
     322       5.8058 -12.3546 13.0829 -10.1452 2.9568
     323      22.0061 -26.6229 21.2288 -7.9775 -8.5873
     324      13.1135 -30.3261 32.3322 -25.3366 8.1470
     325      20.5346 -26.2475 24.0638 -13.6604 -4.1771
     326      16.4016 -15.1864 8.3330 0.6095 -10.4804
     327       5.9690 -24.9048 32.5295 -31.2033 16.1661
     328      13.8295 -28.0142 31.5856 -24.3938 7.0461
     329      11.9022 -24.5536 26.6968 -19.4236 4.7107
     330      13.8169 -26.5187 27.6500 -20.1915 3.4342
     331       7.3679 -24.2190 30.1160 -27.0312 12.3933
     332       8.6253 -26.1877 31.5003 -25.9117 11.5336
     333      14.5157 -29.3696 30.9356 -24.3182 6.4762
     334      10.8443 -16.7952 16.1643 -11.0359 0.5125
     335       3.2503 -19.0956 26.9223 -25.9837 15.0093
     336      25.2651 -37.6833 34.0056 -21.5966 -2.7009
     337      19.7228 -23.3462 15.9206 -5.0175 -9.0953
     338      15.5765 -19.7315 16.1659 -7.9190 -5.1711
     339       7.8241 -25.5337 32.2120 -28.7459 12.7771
     340       2.3194 -15.0297 20.9879 -21.0223 11.8413
     341      16.8163 -19.1532 14.2952 -4.5354 -7.5739
     342      10.0231 -32.9717 40.5420 -35.1335 16.4545
     343       6.0856 -25.3159 32.2615 -28.9657 14.9900
     344       9.6231 -28.4734 32.3033 -28.2564 12.4893
     345      11.4822 -16.6911 15.4742 -9.0200 -1.7990
     346      19.4951 -35.4920 34.9047 -21.9556 2.2810
     347      17.5158 -28.2643 27.1557 -17.1258 0.4440
     348       2.1440 -20.9458 29.0935 -28.9991 17.4886
     349      -2.8155 -13.7316 22.8094 -25.9931 18.8013
     350      29.0763 -36.4936 31.0156 -13.2579 -9.9054
     351      20.6032 -32.1429 32.0414 -18.4377 -1.1608
     352      20.0098 -29.6576 26.6188 -16.2130 -1.8541
     353      19.0529 -31.4541 27.4410 -17.3775 -0.1190
     354      20.6395 -36.9411 35.8784 -27.4512 5.2155
     355      10.7880 -25.9279 27.7616 -22.3807 7.9722
     356       9.8698 -27.2048 32.9949 -26.8584 10.7529
     357      10.3843 -26.5818 30.7773 -25.5692 10.1489
     358      23.7047 -31.9089 29.7969 -17.0577 -4.2848
     359      24.9366 -40.0722 37.3714 -26.1873 0.7332
     360      20.6550 -22.5025 15.6195 -3.2299 -11.9342
     361      -5.3207 -10.3416 19.5486 -23.8803 19.1504
     362      27.0195 -22.0125 8.5484 7.4555 -20.9872
     363      -9.4365 -12.0948 25.9674 -34.6467 27.4864
     364      12.5972 -20.0375 19.9687 -13.7665 0.9738
     365       8.3862 -11.9836 10.6019 -5.7669 -1.6446
     366     -10.0015 -1.5227 11.0937 -17.7257 17.4972
     367      29.2686 -21.2669 7.4637 9.6355 -24.8703
     368       9.1918 -11.4460 9.2247 -4.5570 -2.6725
     369      12.8950 -14.1504 9.7941 -2.2988 -6.8862
     370      16.4160 -8.5411 -1.1259 11.0457 -17.5239
     371       7.4583 -13.1557 13.0475 -9.5858 1.7224
     372       8.4013 -10.7057 8.9034 -4.0914 -2.9481
     373      16.6420 -6.8995 -4.1357 14.5213 -20.1941
     374      23.2880 -30.3586 25.9700 -12.4701 -6.5213
     375      11.6909 -12.7620 9.2816 -2.5358 -5.7062
     376      13.8467 -21.7827 20.2329 -11.1920 -1.6461
     377      23.3626 -29.3157 22.3145 -8.6277 -9.3702
     378      21.0193 -25.8420 19.7769 -9.2213 -7.4356
     379      31.6960 -23.6454 7.9392 11.1101 -28.2676
     380      29.9667 -25.1691 10.5544 7.6493 -25.1798
     381      14.2865 -27.7205 30.2376 -22.5308 5.3122
     382      28.0379 -34.6956 25.2910 -8.4421 -12.2764
     383      25.1166 -25.2030 16.1801 -2.0352 -14.3737
     384      22.3754 -32.9707 30.2680 -18.9424 -2.6169
     385       6.1158 -18.6926 23.1002 -20.1775 9.0776
     386      28.7977 -33.2672 23.2983 -7.3534 -13.6665
     387      14.7405 -22.8079 21.8190 -12.6827 -1.1947
     388      13.2440 -23.0715 25.0762 -17.5374 2.7228
     389      13.0333 -24.1315 24.5116 -16.4060 3.1062
     390       8.2399 -20.6863 23.2182 -19.8726 7.7601
     391      10.7179 -27.0535 34.0021 -27.1231 10.9493
     392      17.2905 -26.3631 24.0241 -12.3353 -3.3394
     393      24.5227 -30.0658 22.6765 -8.0653 -10.0432
     394      15.3558 -17.2876 12.3313 -3.7745 -7.0021
     395      26.0050 -24.5755 15.9167 -2.3512 -15.4584
     396      29.1660 -31.3258 20.7020 -4.0737 -16.6364
     397      11.4064 -22.5855 24.9621 -18.7541 4.1924
     398      28.7233 -33.3076 24.0192 -6.1262 -14.6399
     399       6.9407 -18.2927 21.9418 -18.8434 7.9184
     400      15.5740 -20.3747 15.8054 -6.9654 -4.9016
     401      13.7699 -19.4005 16.3616 -9.6442 -2.1849
     402      13.7667 -14.8548 9.9634 -2.0966 -7.3761
     403      16.6128 -16.1800 9.9365 -0.4750 -10.4326
     404      10.8318 -19.7668 18.7122 -11.4870 0.5802
     405      10.1877 -13.7024 13.1110 -7.7342 -1.2017
     406       4.4117 1.2649 -5.5900 8.3804 -8.5229
     407      28.7702 -16.5948 -0.7320 17.0437 -28.3341
     408      10.0577 5.6299 -18.2452 24.8874 -20.8576
     409       8.8948 2.4308 -11.1830 16.1154 -16.2669
     410      -8.3365 13.4601 -12.7952 8.7104 -0.3368
     411      -1.0287 14.1698 -19.7406 20.6337 -12.4024
     412       3.2726 11.0777 -19.6744 23.3591 -16.1436
     413       2.6091 12.2049 -21.2472 24.9838 -16.7178
     414       8.7094 13.3134 -28.3714 33.2707 -26.2752
     415       6.1345 1.8773 -7.8323 11.8246 -11.4676
     416     -24.8384 21.6220 -11.0601 -3.1006 18.5866
     417     -28.9659 11.9425 6.1551 -22.2351 31.7621
     418     -23.9064 6.9383 11.1934 -24.7711 30.1840
     419     -39.5172 26.5020 -5.6031 -17.1015 34.8202
     420     -56.0408 30.6820 1.1957 -31.9168 54.7504
     421     -37.5725 27.8853 -8.8311 -12.3731 30.5759
     422     -41.6541 29.8257 -7.9576 -16.9654 37.0028
     423      -3.6432 4.9922 -4.2102 2.2316 0.9131
     424      -3.9281 14.3116 -18.6312 16.6812 -7.8038
     425     -29.3091 30.6523 -20.3902 5.2721 14.4832
     426     -23.9670 16.1302 -4.5829 -9.5530 20.7608
     427     -15.2001 16.7480 -11.5285 3.8018 6.8512
     428      -6.2725 8.0698 -6.6848 3.3921 1.5638
     429       1.7279 -13.2893 18.4554 -18.4241 10.5293
     430       5.7916 -16.1788 19.8163 -18.4478 8.2509
     431      -6.4597 -12.0128 24.7072 -29.7860 23.0520
     432      24.3243 -17.6579 5.6379 9.3710 -22.2712
     433      11.3758 -12.2590 8.5199 -2.6482 -4.9878
     434      24.9444 -30.5828 23.4004 -9.4612 -10.2522
     435      24.1103 -34.9946 30.3748 -17.8719 -3.9786
     436      16.9211 -9.0855 -1.8832 11.9467 -18.4265
     437      16.0535 -9.5948 -0.3804 9.8375 -16.2479
     438      41.5290 -27.8269 9.0115 13.8749 -34.6005
     439      25.7500 -27.0262 18.4923 -3.9603 -14.1190
     440       9.0784 -7.3437 2.9761 2.5766 -7.5480
     441       6.5610 -2.0444 -3.0138 6.8954 -8.2657
     442      20.0625 -19.6456 13.1583 -1.7242 -11.8000
     443       9.7895 -15.5772 14.8164 -9.6067 -0.2158
     444      10.9601 0.0860 -9.8050 17.0185 -18.3437
     445      16.5080 -12.5805 3.1804 6.7898 -14.7585
     446       9.4546 -14.5655 14.6925 -9.4177 0.2934
     447      24.0975 -28.6631 20.4527 -6.9900 -12.1638
     448      16.9304 -12.3793 4.3387 5.1402 -14.2111
     449      26.2655 -32.1217 24.6639 -9.1252 -10.3907
     450      30.7571 -26.6426 14.3931 3.0095 -21.1489
     451      15.5157 -15.3232 9.2601 0.3999 -10.5047
     452      20.7249 -26.2214 19.6904 -9.3681 -6.5178
     453      22.3808 -31.1216 26.9630 -14.4536 -5.0526
